Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave AIM Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"56","Unassigned","GTN Industries Ltd","https://gtnf.org","Yes","Yes","Yes","3.6 out of 10","9","64","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/GTN_Industries_Ltd/screenshots/GTN_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (GTN Industries Ltd)","Company Secretary & Compliance Officer","info@gtnf.org","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@gtnf.org"
"57","Unassigned","GHCL Ltd","https://ghc.sa","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/GHCL_Ltd/screenshots/GHCL_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (GHCL Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"58","Unassigned","GFL Ltd","https://gflenv.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/GFL_Ltd/screenshots/GFL_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (GFL Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"59","Unassigned","HCL Infosystems Ltd","https://hclinfosystems.in","Yes","Yes","Yes","1 out of 10","36","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/HCL_Infosystems_Ltd/screenshots/HCL_Infosystems_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (HCL Infosystems Ltd)","Company Secretary & Compliance Officer","cosec@hcl.com","General Contact Email","Managing Director / CEO","cosec@hcl.com"
"60","Unassigned","HDFC Bank Ltd","https://hdfcbank.com","Yes","Yes","Yes","7.8 out of 10","3","88","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/HDFC_Bank_Ltd/screenshots/HDFC_Bank_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (HDFC Bank Ltd)","Company Secretary & Compliance Officer","info@hdfcbank.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@hdfcbank.com"
"61","Unassigned","Hero MotoCorp Ltd","https://heromotocorp.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Hero_MotoCorp_Ltd/screenshots/Hero_MotoCorp_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Hero MotoCorp Ltd)","Company Secretary & Compliance Officer","xxx@yourdomain.com","General Contact Email","Managing Director / CEO","xxx@yourdomain.com"
"62","Unassigned","HFCL Ltd","https://hfcl.com","Yes","Yes","Yes","7 out of 10","4","84","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/HFCL_Ltd/screenshots/HFCL_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (HFCL Ltd)","Company Secretary & Compliance Officer","info@hfcl.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@hfcl.com"
"63","Unassigned","Himadri Speciality Chemical Ltd","https://himadri.com","Yes","Yes","Yes","1 out of 10","19","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Himadri_Speciality_Chemical_Ltd/screenshots/Himadri_Speciality_Chemical_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Himadri Speciality Chemical Ltd)","Company Secretary & Compliance Officer","info@himadri.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","investors@himadri.com"
"64","Unassigned","Hindustan Construction Company Ltd","https://hccindia.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Hindustan_Construction_Company_Ltd/screenshots/Hindustan_Construction_Company_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Hindustan Construction Company Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"65","Unassigned","Agi Greenpac Ltd","https://agigreenpac.com","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Agi_Greenpac_Ltd/screenshots/Agi_Greenpac_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Agi Greenpac Ltd)","Company Secretary & Compliance Officer","agi@agi-glaspac.com","General Contact Email","Managing Director / CEO","agi@agi-glaspac.com"
"66","Unassigned","Hindustan Zinc Ltd","https://hzlindia.com","Yes","Yes","Yes","5.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Hindustan_Zinc_Ltd/screenshots/Hindustan_Zinc_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Hindustan Zinc Ltd)","Company Secretary & Compliance Officer","info@hzlindia.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@hzlindia.com"
"67","Unassigned","HMT Ltd","https://hmtvlive.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/HMT_Ltd/screenshots/HMT_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (HMT Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"68","Unassigned","Prag Bosimi Synthetics Ltd","https://pragbosimi.com","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Prag_Bosimi_Synthetics_Ltd/screenshots/Prag_Bosimi_Synthetics_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Prag Bosimi Synthetics Ltd)","Company Secretary & Compliance Officer","info@pragbosimi.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@pragbosimi.com"
"69","Unassigned","HLV Ltd","https://hlv.de","Yes","Yes","Yes","1 out of 10","105","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/HLV_Ltd/screenshots/HLV_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (HLV Ltd)","Company Secretary & Compliance Officer","info@hlv.de","General Contact Email","Managing Director / CEO","info@hlv.de"
"70","Unassigned","IG Petrochemicals Ltd","https://igpetro.com","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/IG_Petrochemicals_Ltd/screenshots/IG_Petrochemicals_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (IG Petrochemicals Ltd)","Company Secretary & Compliance Officer","info@igpetro.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@igpetro.com"
"71","Unassigned","India Glycols Ltd","https://indiaglycols.com","Yes","Yes","Yes","1 out of 10","30","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/India_Glycols_Ltd/screenshots/India_Glycols_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (India Glycols Ltd)","Company Secretary & Compliance Officer","info@indiaglycols.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@indiaglycols.com"
"72","Unassigned","Margo Finance Ltd","https://margotelena.com","Yes","Yes","Yes","4.3 out of 10","8","68","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Margo_Finance_Ltd/screenshots/Margo_Finance_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Margo Finance Ltd)","Company Secretary & Compliance Officer","hello@margotelena.com","General Contact Email","Managing Director / CEO","hello@margotelena.com"
"73","Unassigned","Infosys Ltd","https://infosys.com","Yes","No","No","6.3 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Infosys_Ltd/screenshots/Infosys_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Infosys Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"74","Unassigned","Ingersoll-Rand (India) Ltd","https://ingersollrand.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Ingersoll_Rand__India__Ltd/screenshots/Ingersoll_Rand__India__Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Ingersoll-Rand (India) Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"75","Unassigned","International Travel House Ltd","https://internationaltravelhouse.in","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/International_Travel_House_Ltd/screenshots/International_Travel_House_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (International Travel House Ltd)","Company Secretary & Compliance Officer","info@internationaltravelhouse.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@internationaltravelhouse.in"
"76","Unassigned","Ion Exchange India Ltd","https://ionexchangeglobal.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Ion_Exchange_India_Ltd/screenshots/Ion_Exchange_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Ion Exchange India Ltd)","Company Secretary & Compliance Officer","info@ionexchangeglobal.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@ionexchangeglobal.com"
"77","Unassigned","Jain Irrigation Systems Ltd","https://jains.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Jain_Irrigation_Systems_Ltd/screenshots/Jain_Irrigation_Systems_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Jain Irrigation Systems Ltd)","Company Secretary & Compliance Officer","info@jains.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@jains.com"
"78","Unassigned","Jasch Industries Ltd","https://9jaschoolnews.com.ng","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Jasch_Industries_Ltd/screenshots/Jasch_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Jasch Industries Ltd)","Company Secretary & Compliance Officer","info@9jaschoolnews.com.ng","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@9jaschoolnews.com.ng"
"79","Unassigned","Jindal Poly Films Ltd","https://jindalpoly.com","Yes","Yes","Yes","7.8 out of 10","3","88","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Jindal_Poly_Films_Ltd/screenshots/Jindal_Poly_Films_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Jindal Poly Films Ltd)","Company Secretary & Compliance Officer","info@jindalpoly.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@jindalpoly.com"
"80","Unassigned","JSW Steel Ltd","https://jswsteel.in","Yes","Yes","Yes","2.8 out of 10","10","60","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/JSW_Steel_Ltd/screenshots/JSW_Steel_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (JSW Steel Ltd)","Company Secretary & Compliance Officer","info@jswsteel.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@jswsteel.in"
"81","Unassigned","Kajaria Ceramics Ltd","https://kajariaceramics.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Kajaria_Ceramics_Ltd/screenshots/Kajaria_Ceramics_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Kajaria Ceramics Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"82","Unassigned","Kakatiya Cement Sugar & Industries Ltd","https://kakatiyacements.com","Yes","Yes","Yes","5.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Kakatiya_Cement_Sugar___Industries_Ltd/screenshots/Kakatiya_Cement_Sugar___Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Kakatiya Cement Sugar & Industries Ltd)","Company Secretary & Compliance Officer","info@kakatiyacements.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@kakatiyacements.com"
"83","Unassigned","Kanel Industries Ltd","https://kaneland.org","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Kanel_Industries_Ltd/screenshots/Kanel_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Kanel Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"84","Unassigned","KG Denim Ltd","https://kgdenim.com","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/KG_Denim_Ltd/screenshots/KG_Denim_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (KG Denim Ltd)","Company Secretary & Compliance Officer","info@kgdenim.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@kgdenim.com"
"85","Unassigned","Kinetic Engineering Ltd","https://kineticengineering.com","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Kinetic_Engineering_Ltd/screenshots/Kinetic_Engineering_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Kinetic Engineering Ltd)","Company Secretary & Compliance Officer","info@kineticengineering.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@kineticengineering.com"
"86","Unassigned","Kirloskar Brothers Ltd","https://kirloskarpumps.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Kirloskar_Brothers_Ltd/screenshots/Kirloskar_Brothers_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Kirloskar Brothers Ltd)","Company Secretary & Compliance Officer","info@kirloskarpumps.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@kirloskarpumps.com"
"87","Unassigned","Kirloskar Industries Ltd","https://kirloskarpumps.com","Yes","Yes","Yes","5.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Kirloskar_Industries_Ltd/screenshots/Kirloskar_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Kirloskar Industries Ltd)","Company Secretary & Compliance Officer","info@kirloskarpumps.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@kirloskarpumps.com"
"88","Unassigned","Kirloskar Ferrous Industries Ltd","https://kirloskarferrous.com","Yes","Yes","Yes","1 out of 10","27","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Kirloskar_Ferrous_Industries_Ltd/screenshots/Kirloskar_Ferrous_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Kirloskar Ferrous Industries Ltd)","Company Secretary & Compliance Officer","info@kirloskarferrous.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@kirloskarferrous.com"
"89","Unassigned","Kotak Mahindra Bank Ltd","https://kotak.com","Yes","No","No","6.3 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Kotak_Mahindra_Bank_Ltd/screenshots/Kotak_Mahindra_Bank_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Kotak Mahindra Bank Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"90","Unassigned","KSB Ltd","https://ksbw.com","Yes","Yes","Yes","6.3 out of 10","5","80","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/KSB_Ltd/screenshots/KSB_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (KSB Ltd)","Company Secretary & Compliance Officer","Jackie.DeFusco@hearst.com","General Contact Email","Managing Director / CEO","Jackie.DeFusco@hearst.com"
"91","Unassigned","LMW Ltd","https://lebensmittelwarnung.de","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/LMW_Ltd/screenshots/LMW_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (LMW Ltd)","Company Secretary & Compliance Officer","a@b.de","General Contact Email","Managing Director / CEO","a@b.de"
"92","Unassigned","LIC Housing Finance Ltd","https://lichousing.com","Yes","Yes","Yes","1 out of 10","28","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/LIC_Housing_Finance_Ltd/screenshots/LIC_Housing_Finance_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (LIC Housing Finance Ltd)","Company Secretary & Compliance Officer","customersupport@lichousing.com","General Contact Email","Managing Director / CEO","customersupport@lichousing.com"
"93","Unassigned","Lupin Ltd","https://lupinepet.com","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Lupin_Ltd/screenshots/Lupin_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Lupin Ltd)","Company Secretary & Compliance Officer","email@example.com","General Contact Email","Managing Director / CEO","email@example.com"
"94","Unassigned","Lyka Labs Ltd","https://lykalabs.com","Yes","Yes","Yes","1 out of 10","16","36","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Lyka_Labs_Ltd/screenshots/Lyka_Labs_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Lyka Labs Ltd)","Company Secretary & Compliance Officer","enquiry@lykalabs.com","General Contact Email","Managing Director / CEO","enquiry@lykalabs.com"
"95","Unassigned","The Ramco Cements Ltd","https://ramcocements.in","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/The_Ramco_Cements_Ltd/screenshots/The_Ramco_Cements_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (The Ramco Cements Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"96","Unassigned","Hybrid Financial Services Ltd","https://hybridfinance.co.in","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Hybrid_Financial_Services_Ltd/screenshots/Hybrid_Financial_Services_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Hybrid Financial Services Ltd)","Company Secretary & Compliance Officer","investor@hybridfinance.co.in","Investor Grievance / Compliance Officer Email","Managing Director / CEO","investor@hybridfinance.co.in"
"97","Unassigned","Mafatlal Industries Ltd","https://mafatlals.com","Yes","Yes","Yes","5 out of 10","7","72","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Mafatlal_Industries_Ltd/screenshots/Mafatlal_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Mafatlal Industries Ltd)","Company Secretary & Compliance Officer","info@mafatlals.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@mafatlals.com"
"98","Unassigned","Maharashtra Scooters Ltd","https://mahascooters.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Maharashtra_Scooters_Ltd/screenshots/Maharashtra_Scooters_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Maharashtra Scooters Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"99","Unassigned","Majestic Auto Ltd","https://majesticautos.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Majestic_Auto_Ltd/screenshots/Majestic_Auto_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Majestic Auto Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"100","Unassigned","Manali Petrochemicals Ltd","https://manalipetro.com","Yes","Yes","Yes","2.8 out of 10","10","60","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Manali_Petrochemicals_Ltd/screenshots/Manali_Petrochemicals_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Manali Petrochemicals Ltd)","Company Secretary & Compliance Officer","companysecretary@manalipetro.com","General Contact Email","Managing Director / CEO","companysecretary@manalipetro.com"
"101","Unassigned","Max Financial Services Ltd","https://maxfinancialservices.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Max_Financial_Services_Ltd/screenshots/Max_Financial_Services_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Max Financial Services Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"102","Unassigned","Mid India Industries Ltd","https://midindia.com","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Mid_India_Industries_Ltd/screenshots/Mid_India_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Mid India Industries Ltd)","Company Secretary & Compliance Officer","email@example.com","General Contact Email","Managing Director / CEO","email@example.com"
"103","Unassigned","Century Enka Ltd","https://centuryenka.com","Yes","No","No","6.3 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Century_Enka_Ltd/screenshots/Century_Enka_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Century Enka Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"104","Unassigned","Lords Chloro Alkali Ltd","https://lordschloro.com","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Lords_Chloro_Alkali_Ltd/screenshots/Lords_Chloro_Alkali_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Lords Chloro Alkali Ltd)","Company Secretary & Compliance Officer","info@lordschloro.com","General Contact Email","Managing Director / CEO","info@lordschloro.com"
"105","Unassigned","Spicejet Ltd","https://spicejet.com","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Spicejet_Ltd/screenshots/Spicejet_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Spicejet Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"106","Unassigned","MRF Ltd","https://mrfood.com","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/MRF_Ltd/screenshots/MRF_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (MRF Ltd)","Company Secretary & Compliance Officer","info@mrfood.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@mrfood.com"
"107","Unassigned","HeidelbergCement India Ltd","https://mycemco.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/HeidelbergCement_India_Ltd/screenshots/HeidelbergCement_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (HeidelbergCement India Ltd)","Company Secretary & Compliance Officer","info@mycemco.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@mycemco.com"
"108","Unassigned","NCC Ltd","https://ncclimited.com","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/NCC_Ltd/screenshots/NCC_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (NCC Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"109","Unassigned","Vedanta Ltd","https://vedantalimited.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Vedanta_Ltd/screenshots/Vedanta_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Vedanta Ltd)","Company Secretary & Compliance Officer","info@vedantalimited.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@vedantalimited.com"
"110","Unassigned","Grasim Industries Ltd","https://grasim.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Grasim_Industries_Ltd/screenshots/Grasim_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Grasim Industries Ltd)","Company Secretary & Compliance Officer","info@grasim.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@grasim.com"
